global_subfield_id,label,core_problem,venues,local_labels_or_subfield_ids,evidence_row_count,role_mix,evidence_strength,limitations
GSF-01,"LLM serving state, KV/cache, attention, and token-memory bottlenecks","Reduce prefill/decode latency, KV/state movement, attention cost, quantization overhead, and serving SLO pressure.",A-SSCC;ASPLOS;DAC;DATE;FPGA;FPL;FPT;HOTCHIPS;HPCA;ICCAD;ICCD;ISCA;ISCAS;ISSCC;JSSC;MICRO;MLSys;PACT;PPoPP;SC;TCAD;VLSI,A-SSCC-SF03/SF07; ASPLOS-SF03/SF04; DAC-SF03; DATE-SF04; FPGA-SF03; FPL-SF03; FPT-SF05; HOTCHIPS-SF02; HPCA-SF02; ISCA-SF05; ISCAS-SF04/SF05/SF06/SF07/SF08; ISSCC-SF03; JSSC-SF05; MICRO-SF02; MLSys-SF01; PACT-SF04; PPoPP-SF06; SC-SF02; TCAD-SF05; VLSI-SF03,309,frontier:170; milestone_candidate:44; formation_paper:28; none:26; method_bridge:23; tool_benchmark:11; origin_anchor:5; negative_boundary:2,"strong, frontier-heavy",2025-2026 rows dominate several venues; adoption/artifact evidence often remains unverified.
GSF-02,"Neural rendering, NeRF, 3DGS, and scene-reconstruction pipeline bottlenecks","Reduce sorting, rasterization, ray/Gaussian traversal, cache reuse, rendering latency, and visual-quality tradeoffs.",A-SSCC;ASP-DAC;ASPLOS;CICC;DAC;DATE;FPL;HOTCHIPS;HPCA;ICCAD;ISCA;ISCAS;ISPA;ISSCC;JSSC;MICRO;MLSys;SC;TCAD;VLSI,A-SSCC-SF12; ASPDAC-SF05; ASPLOS-SF01; CICC-SF05; DAC-SF05; DATE-SF01; FPL-SF09; HOTCHIPS-SF09; HPCA-SF06; ICCAD-SF07; ISCA-SF04; ISCAS-SF09/SF10; ISPA-SF07; ISSCC-SF04; JSSC-SF06; MICRO-SF01; MLSys-SF07; SC-SF12; TCAD-SF06; VLSI-SF01,168,frontier:104; formation_paper:18; milestone_candidate:12; method_bridge:12; origin_anchor:8; tool_benchmark:8; none:5; negative_boundary:1,strong emerging cross-venue candidate,Direct 3DGS evidence is recent; graphics/vision venues and final 2026 proceedings are still needed.
GSF-03,CIM/PIM/near-memory execution for memory-wall workloads,Move compute toward SRAM/RRAM/DRAM/HBM/CXL/PIM structures to reduce off-chip traffic and capacity pressure.,A-SSCC;ASP-DAC;CICC;DAC;DATE;FCCM;HOTCHIPS;HPCA;ICCAD;ICCD;ISCA;ISCAS;ISPA;ISSCC;JSSC;MICRO;PACT;SC;TCAD;VLSI,A-SSCC-SF04/SF05/SF06/SF07/SF11; ASPDAC-SF06; CICC-SF01/SF10; DAC-SF04; DATE-SF05; FCCM-SF04; HOTCHIPS-SF04; HPCA-SF01/SF04; ICCAD-SF03; ICCD-SF01/SF03; ISCAS-SF01/SF07; ISSCC-SF02; JSSC-SF03; MICRO-SF04; PACT-SF05; SC-SF11; TCAD-SF04; VLSI-SF04,230,frontier:81; milestone_candidate:66; method_bridge:29; formation_paper:19; tool_benchmark:17; origin_anchor:15; negative_boundary:3,strong,"Mixes device macro, architecture, and system PIM; split analog/digital CIM, DRAM/HBM PIM, and CXL/NDP later."
GSF-04,"HLS, compiler, autotuning, and hardware-generation closure","Turn models/DSL/HLS/RTL into performant implementations under resource, timing, correctness, and search-cost constraints.",ASP-DAC;ASPLOS;CICC;DAC;DATE;FCCM;FPGA;FPL;FPT;HOTCHIPS;HPCA;ICCAD;ICCD;ISCAS;MLSys;PACT;PPoPP;SC;TCAD;VLSI,ASPDAC-SF01/SF02/SF03; ASPLOS-SF06; DAC-SF02/SF06; DATE-SF08; FCCM-SF01; FPGA-SF01; FPL-SF02; FPT-SF01; HOTCHIPS-SF11/SF12; ICCAD-SF01/SF06; ICCD-SF02; ISCAS-SF02/SF03; MLSys-SF02; PACT-SF01; SC-SF08; TCAD-SF02/SF07; VLSI-SF08,186,tool_benchmark:45; milestone_candidate:41; method_bridge:39; frontier:34; formation_paper:12; none:8; origin_anchor:7,strong,Tool artifacts mostly runnable_unchecked; LLM-assisted design rows are recent and benchmark contamination/adoption need audit.
GSF-05,"Physical/PPA, routing, timing, chiplet, 3DIC, and package closure","Ensure accelerators close timing, placement, routing, thermal, package bandwidth, die-to-die, and 3D integration constraints.",ASP-DAC;DAC;DATE;FCCM;FPGA;FPL;FPT;HOTCHIPS;ICCAD;TCAD;VLSI,ASPDAC-SF04; DAC-SF01/SF07/SF08; DATE-SF07; FCCM-SF02; FPGA-SF08; FPL-SF01; FPT-SF07; HOTCHIPS-SF05; ICCAD-SF04; TCAD-SF01/SF08; VLSI-SF06,81,milestone_candidate:30; frontier:21; method_bridge:15; origin_anchor:5; tool_benchmark:5; formation_paper:5,moderate-strong,EDA/package evidence is often not tied to a single workload; avoid merging 3DIC with 3D scene reconstruction.
GSF-06,"Low-precision, sparsity, LUT/native arithmetic, and approximate neural execution","Reduce arithmetic and memory cost via quantization, sparse execution, LUT/polynomial forms, binary/ternary formats, and precision scaling.",A-SSCC;ASP-DAC;DAC;FCCM;FPGA;FPL;FPT;ICCD;ISCA;ISCAS;ISSCC;JSSC;MICRO;PACT;SC;VLSI,A-SSCC-SF01/SF05; ASPDAC-SF07; DAC-SF03; FCCM-SF03; FPGA-SF02; FPL-SF03; FPT-SF04; ISCA-SF01; ISCAS-SF04; ISSCC-SF01/SF03; JSSC-SF01/SF02/SF04; MICRO-SF03; PACT-SF04; SC-SF03; VLSI-SF07,160,frontier:58; milestone_candidate:33; formation_paper:30; method_bridge:16; origin_anchor:15; tool_benchmark:8,strong,"Overlaps LLM, sparse graph, and CIM; precision/quality metrics are not normalized across workloads."
GSF-07,"Irregular graph, sparse tensor, point-cloud, and data-dependent workload mapping","Handle load imbalance, metadata movement, random access, sparse formats, and dynamic work partitioning.",ASPLOS;DATE;FPGA;FPL;FPT;HPCA;ISPA;MICRO;MLSys;PACT;PPoPP;SC,ASPLOS-SF08; DATE-SF02; FPGA-SF06; FPL-SF08; FPT-SF05; HPCA-SF01; ISPA-SF06; MICRO-SF03; MLSys-SF04; PACT-SF03/SF04; PPoPP-SF03/SF04; SC-SF04,112,frontier:38; milestone_candidate:29; formation_paper:28; tool_benchmark:6; none:5; origin_anchor:5; method_bridge:1,moderate-strong,"Combines graph/GNN, sparse linear algebra, scientific kernels, point-cloud, and MoE-like irregularity; likely split needed."
GSF-08,"Benchmark, profiling, simulator, artifact, and evidence-validity infrastructure","Make accelerator claims comparable via profilers, simulators, benchmark suites, artifact packages, and reproducibility workflows.",ASPLOS;CICC;FCCM;FPGA;FPL;FPT;HOTCHIPS;HPCA;ICCAD;ICCD;ISCA;ISCAS;ISPA;MICRO;MLSys;PACT;PPoPP;SC;TCAD,ASPLOS-SF10; FCCM-SF06; FPGA-SF07; FPL-SF06; HOTCHIPS-SF10/SF12; HPCA-SF10; ICCAD-SF10; ICCD-SF06; ISCA-SF03; ISCAS-SF03; MICRO-SF06; MLSys-SF05; PACT-SF09; SC-SF09; TCAD-SF04,111,tool_benchmark:83; milestone_candidate:11; frontier:6; origin_anchor:4; none:2; formation_paper:2; method_bridge:2; negative_boundary:1,strong as methodology,"This is an evaluation subfield, not an accelerator mechanism; tool availability is not adoption or reproducibility proof."
GSF-09,"Edge robotics, sensor-near vision, SLAM, and embodied low-latency perception","Execute visual-inertial, SLAM, depth, event, sensor, and embodied edge workloads under power/latency constraints.",A-SSCC;ASPLOS;CICC;DATE;FCCM;FPGA;FPL;FPT;HOTCHIPS;ICCD;ISCAS;ISSCC;JSSC;MLSys;PACT;TCAD;VLSI,A-SSCC-SF08/SF09/SF10; ASPLOS-SF02; CICC-SF03/SF05; DATE-SF03; FCCM-SF05; FPGA-SF10; FPL-SF09; FPT-SF06; HOTCHIPS-SF08; ICCD-SF09; ISCAS-SF11; ISSCC-SF04; JSSC-SF06; MLSys-SF06; PACT-SF08; VLSI-SF02/SF05,172,frontier:61; milestone_candidate:30; method_bridge:28; formation_paper:26; origin_anchor:11; tool_benchmark:8; none:6; negative_boundary:2,moderate-strong,Direct robotics-policy/VLA evidence is newer; many rows are sensor/vision substrate rather than full embodied-agent systems.
GSF-10,"Distributed training, accelerator orchestration, collectives, and datacenter fabric bottlenecks","Reduce communication, scheduling, memory offload, topology, and multi-tenant serving/training bottlenecks.",ASPLOS;HOTCHIPS;HPCA;ISCA;MLSys;PPoPP;SC,ASPLOS-SF04; HOTCHIPS-SF01/SF06/SF07; HPCA-SF08; ISCA-SF02; MLSys-SF03/SF08/SF10; PPoPP-SF05; SC-SF01/SF05/SF07,109,frontier:37; milestone_candidate:23; formation_paper:22; method_bridge:15; none:5; origin_anchor:5; tool_benchmark:1; negative_boundary:1,moderate-strong,"Strong in systems/industry venues, weaker in circuit/EDA venues; vendor disclosures need independent workload validation."
GSF-11,"Memory capacity, CXL/far-memory, storage, I/O, and NoC/data-movement bottlenecks","Manage capacity, bandwidth, cache/coherence, host-device, storage, DMA, NoC, and CXL/tiered-memory limits.",A-SSCC;ASPLOS;DATE;FCCM;FPGA;FPL;FPT;HOTCHIPS;HPCA;ICCD;MICRO;PACT;SC;VLSI,A-SSCC-SF14; ASPLOS-SF05; DATE-SF10; FCCM-SF04; FPGA-SF04; FPL-SF04; FPT-SF02; HOTCHIPS-SF04/SF05; HPCA-SF03/SF04; ICCD-SF05; MICRO-SF04; PACT-SF05; SC-SF06/SF11; VLSI-SF06,144,frontier:46; milestone_candidate:37; method_bridge:23; tool_benchmark:17; origin_anchor:9; formation_paper:5; canonical:3; none:3; industrial_system:1,strong,"Overlaps PIM/CIM and datacenter fabric; split CXL/far memory, storage/I/O, and package/HBM."
GSF-12,"Security, correctness, reliability, and verification constraints for accelerated systems","Preserve trust, formal correctness, side-channel resistance, fault tolerance, and dependable execution while optimizing.",A-SSCC;ASP-DAC;ASPLOS;CICC;DAC;DATE;FCCM;FPL;FPT;HOTCHIPS;HPCA;ICCAD;ICCD;ISCA;ISCAS;MICRO;PACT;TCAD,A-SSCC-SF13; ASPDAC-SF08; ASPLOS-SF09/SF11; CICC-SF09; DAC-SF09; DATE-SF09; FCCM-SF07; FPL-SF07; FPT-SF09; HOTCHIPS-SF13; HPCA-SF09; ICCAD-SF05/SF08; ICCD-SF07; ISCA-SF07; ISCAS-SF16; MICRO-SF07; PACT-SF07; TCAD-SF09,83,milestone_candidate:49; frontier:15; method_bridge:6; origin_anchor:3; negative_boundary:3; tool_benchmark:3; formation_paper:2; none:2,moderate,"Often boundary evidence, not a primary accelerator-performance lineage; dedicated security venues needed."
